term,mean_active,mean_zero,delta
original,0.0068030273446017826,0.001896117896290468,0.004906909448311314
collaborations,0.005247678840531163,0.00036215663446081557,0.004885522206070348
signal,0.004972386240921524,9.846030892597245e-05,0.004873925931995551
disorders,0.005202124494625204,0.0003557360999819522,0.004846388394643252
suffering,0.004978720189001995,0.0001395444040349145,0.004839175784967081
tumors,0.004821549370924928,8.22856521298602e-06,0.004813320805711943
original equipment,0.0059915702476173276,0.00118268752353174,0.004808882724085587
intelligence,0.007932673548988453,0.003128447729071209,0.004804225819917244
medicines,0.0049229250378609694,0.00011907923217530234,0.004803845805685667
enabling,0.009599189911064409,0.004826490075309326,0.004772699835755083
equipment manufacturers,0.005794265290179105,0.0010231131195130765,0.004771152170666029
machine,0.006788269366376728,0.0020177604798357015,0.004770508886541026
invasive,0.005079335817997557,0.0003144583028175957,0.004764877515179961
molecule,0.0047857986969582775,3.384566103900112e-05,0.004751953035919276
trademarks,0.009704540606973247,0.004953279763251094,0.004751260843722153
3d,0.005074691447191191,0.00037784543573432755,0.004696846011456863
severe,0.004977548038343011,0.0002827267639003486,0.004694821274442662
existing,0.008949917410865657,0.004268422929185352,0.0046814944816803055
communication,0.006040099191916956,0.001361811537331599,0.004678287654585356
trials,0.004983416850064259,0.0003192640097955418,0.004664152840268717
address,0.0060504617808064595,0.001394294414085412,0.004656167366721048
blood,0.004822145097183563,0.00018197661741642453,0.004640168479767138
optical,0.0056577300876406045,0.0010197489188629575,0.0046379811687776475
modules,0.004763927374991873,0.00013435399921607602,0.004629573375775797
targeting,0.007980007888291856,0.0033744371596386223,0.004605570728653233
patented,0.006429252049111384,0.0018366091161859442,0.00459264293292544
currently,0.005857817941330732,0.0012663377055199302,0.004591480235810802
subscription,0.007153042173412029,0.002562446059410737,0.004590596114001292
battery,0.0056771223312388625,0.0010965435513959933,0.004580578779842869
indications,0.004582174752009777,1.711786512954965e-05,0.004565056886880228
anti,0.005287868824362529,0.0007256700110367741,0.004562198813325755
efficacy,0.00505982475975289,0.0005172025586191361,0.004542622201133754
learning,0.0073441508607477324,0.0028259656785702796,0.004518185182177453
human,0.0066585976338611125,0.002180660645041931,0.004477936988819181
imaging,0.005371131657426548,0.0009016828816564229,0.004469448775770124
medical needs,0.0044784756208467395,1.940405183038423e-05,0.004459071569016355
combination,0.0063352684868363,0.0018961587282873692,0.004439109758548931
silicon,0.004585611266263532,0.00015105247924833233,0.0044345587870151994
powered,0.005544490382916766,0.0011196684683012729,0.004424821914615493
video,0.007396157369418477,0.00298627419897693,0.004409883170441547
inhibitors,0.004450283027543737,5.051507845086622e-05,0.00439976794909287
cancers,0.004433320799809026,3.878110264656195e-05,0.004394539697162463
